artist,title,peak,weeks,type
Eminem Featuring Beyonce,Walk On Water,6,7,collaborated
Huncho Jack Featuring Offset,Dubai Shit,35,2,collaborated
Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,38,8,collaborated
Migos & Marshmello,Danger,34,3,collaborated
Huncho Jack Featuring Takeoff,Eye 2 Eye,27,3,collaborated
"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,35,7,collaborated
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,14,11,collaborated
Eminem Featuring PHRESHER,Chloraseptic,49,1,collaborated
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,16,21,collaborated
Carnage & Lil Pump,i SHYNE,49,1,collaborated
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,11,23,collaborated
"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,31,1,collaborated
Migos Featuring Gucci Mane,CC,45,1,collaborated
Kodak Black Featuring XXXTENTACION,Roll In Peace,16,25,collaborated
Migos Featuring 21 Savage,BBO (Bad Bitches Only),24,2,collaborated
Quavo & Lil Yachty,Ice Tray,30,7,collaborated
NAV Featuring Lil Uzi Vert,Wanted You,27,12,collaborated
Gucci Mane Featuring Migos,I Get The Bag,5,26,collaborated
Vince Staples & Yugen Blakrok,Opps,49,1,collaborated
Kendrick Lamar Featuring Zacari,Love.,6,35,collaborated
Kendrick Lamar & Travis Scott,Big Shot,35,2,collaborated
Miguel Featuring Travis Scott,Sky Walker,14,26,collaborated
6ix9ine Featuring Tory Lanez & Young Thug,RONDO,38,1,collaborated
Khalid & Swae Lee,The Ways,31,3,collaborated
Migos Featuring Post Malone,Notice Me,26,5,collaborated
Kodak Black Featuring Lil Wayne,Codeine Dreaming,20,14,collaborated
G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2,26,collaborated
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,22,8,collaborated
Joyner Lucas & Chris Brown,Stranger Things,46,1,collaborated
SOB X RBE,Paramedic!,29,4,collaborated
A$AP Ferg Featuring Nicki Minaj,Plain Jane,13,26,collaborated
Logic Featuring Wiz Khalifa,Indica Badu,26,1,collaborated
Logic Featuring Big Sean,Wassup,40,1,collaborated
Lil Yachty Featuring Ugly God,Boom!,43,1,collaborated
"ScHoolboy Q, 2 Chainz & Saudi",X,25,5,collaborated
Logic Featuring Young Sinatra,Warm It Up,49,1,collaborated
Famous Dex Featuring A$AP Rocky,Pick It Up,26,20,collaborated
XXXTENTACION Featuring Joey Bada$$,Infinity (888),36,1,collaborated
XXXTENTACION & Matt Ox,$$$,45,1,collaborated
Lil Yachty Featuring Trippie Redd,66,36,2,collaborated
"Migos, Nicki Minaj & Cardi B",MotorSport,3,22,collaborated
Trippie Redd Featuring Travis Scott,Dark Knight Dummo,29,9,collaborated
Eminem Featuring Ed Sheeran,River,5,15,collaborated
The Weeknd Featuring Gesaffelstein,I Was Never There,20,1,collaborated
The Weeknd Featuring Gesaffelstein,Hurt You,23,1,collaborated
N*E*R*D & Rihanna,Lemon,16,22,collaborated
Lil Skies Featuring Landon Cube,Nowadays,22,15,collaborated
"Tyler, The Creator",OKRA,42,1,collaborated
Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,31,4,collaborated
A$AP Rocky Featuring BlocBoy JB,Bad Company,47,1,collaborated
BlocBoy JB Featuring 21 Savage,Rover 2.0,49,2,collaborated
Jacquees X Dej Loaf,At The Club,40,14,collaborated
2 Chainz Featuring YG & Offset,Proud,43,2,collaborated
Offset & Metro Boomin,Ric Flair Drip,9,25,collaborated
G-Eazy & Halsey,Him & I,7,20,collaborated
Swae Lee Featuring Slim Jxmmi,Guatemala,39,1,collaborated
Young Thug Featuring Nicki Minaj,Anybody,43,1,collaborated
Cardi B & YG,She Bad,31,2,collaborated
"DJ Khaled Featuring JAY Z, Future & B",Top Off,14,7,collaborated
Daniel Caesar Featuring Kali Uchis,Get You,41,12,collaborated
J. Cole Featuring kiLL edward,The Cut Off,19,1,collaborated
J. Cole Featuring kiLL edward,Friends,28,1,collaborated
Rae Sremmurd & Travis Scott,Close,48,1,collaborated
Cardi B Featuring Chance The Rapper,Best Life,24,3,collaborated
