_id,artists.href,artists.items.0.external_urls.spotify,artists.items.0.followers.href,artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.href,artists.items.0.id,artists.items.0.images.0.height,artists.items.0.images.0.url,artists.items.0.images.0.width,artists.items.0.images.1.height,artists.items.0.images.1.url,artists.items.0.images.1.width,artists.items.0.images.2.height,artists.items.0.images.2.url,artists.items.0.images.2.width,artists.items.0.images.3.height,artists.items.0.images.3.url,artists.items.0.images.3.width,artists.items.0.name,artists.items.0.popularity,artists.items.0.type,artists.items.0.uri,artists.limit,artists.next,artists.offset,artists.previous,artists.total
5fbc5c2a1790a7e7ff55c9bd,https://api.spotify.com/v1/search?query=2+chainz&type=artist&offset=0&limit=1,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,,5884856,atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp,17lzZA2AlOHwCwFALHttmp,640,https://i.scdn.co/image/470dd77da564ec4cb352dcd2664ce31c337c0661,640,320,https://i.scdn.co/image/540f28182e6a8ee6bc3b88ea7b07f2677aad053b,320,160,https://i.scdn.co/image/47aa6fbfae2214c7c257ca47d03d82c6203e8ecb,160,,,,2 Chainz,85,artist,spotify:artist:17lzZA2AlOHwCwFALHttmp,1,https://api.spotify.com/v1/search?query=2+chainz&type=artist&offset=1&limit=1,0,,7
5fbc5c2b1790a7e7ff55c9be,https://api.spotify.com/v1/search?query=21+savage&type=artist&offset=0&limit=1,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,,8714721,atl hip hop,rap,trap,,,,,,,,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft,640,https://i.scdn.co/image/fcbc4560c03099fec55cf55054932ca3808e33d3,640,320,https://i.scdn.co/image/a84657e5ec7be5af3e2bf896ad0927789262b296,320,160,https://i.scdn.co/image/4882ead0ff08608c276c98cf11bcfb87cb59fd1c,160,,,,21 Savage,91,artist,spotify:artist:1URnnhqYAYcrqrcwql10ft,1,https://api.spotify.com/v1/search?query=21+savage&type=artist&offset=1&limit=1,0,,5
5fbc5c2b1790a7e7ff55c9bf,https://api.spotify.com/v1/search?query=24kgoldn&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z,,512014,cali rap,,,,,,,,,,https://api.spotify.com/v1/artists/6fWVd57NKTalqvmjRd2t8Z,6fWVd57NKTalqvmjRd2t8Z,640,https://i.scdn.co/image/24506e9f17e631b60bcbaae1f38835f216abd614,640,320,https://i.scdn.co/image/ae186eea809f7e3eccf8a3f1661e35d2a9bc594b,320,160,https://i.scdn.co/image/e23ec6348b35d0d6663877aa8182424fa186a7c4,160,,,,24kGoldn,91,artist,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,1,https://api.spotify.com/v1/search?query=24kgoldn&type=artist&offset=1&limit=1,0,,4
5fbc5c2c1790a7e7ff55c9c0,https://api.spotify.com/v1/search?query=42+dugg&type=artist&offset=0&limit=1,https://open.spotify.com/artist/45gHcnDnMC15sgx3VL7ROG,,160672,detroit trap,rap,southern hip hop,trap,,,,,,,https://api.spotify.com/v1/artists/45gHcnDnMC15sgx3VL7ROG,45gHcnDnMC15sgx3VL7ROG,640,https://i.scdn.co/image/18954dd261a0a26fc4046cdacd2948dce0bd0a94,640,320,https://i.scdn.co/image/88fc54c26fc2a14bff87da44ce9655e1304f63de,320,160,https://i.scdn.co/image/ed1864ad44cbbf6c80b52c3958710666ca72a3c7,160,,,,42 Dugg,76,artist,spotify:artist:45gHcnDnMC15sgx3VL7ROG,1,https://api.spotify.com/v1/search?query=42+dugg&type=artist&offset=1&limit=1,0,,3
5fbc5c2c1790a7e7ff55c9c1,https://api.spotify.com/v1/search?query=50+cent&type=artist&offset=0&limit=1,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,,6480492,east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,,,,,https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh,3q7HBObVc0L8jNeTe5Gofh,977,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,781,801,https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118,640,250,https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16,200,80,https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153,64,50 Cent,86,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,1,https://api.spotify.com/v1/search?query=50+cent&type=artist&offset=1&limit=1,0,,18
5fbc5c2c1790a7e7ff55c9c2,https://api.spotify.com/v1/search?query=6i&type=artist&offset=0&limit=1,https://open.spotify.com/artist/7gZfnEnfiaHzxARJ2LeXrf,,6002183,emo rap,,,,,,,,,,https://api.spotify.com/v1/artists/7gZfnEnfiaHzxARJ2LeXrf,7gZfnEnfiaHzxARJ2LeXrf,640,https://i.scdn.co/image/ddd1eba0b544ae7d305bcddbc9eb79357434092a,640,320,https://i.scdn.co/image/997f62ad2e738d2b9f42ba0ae9eee0f4f7a48538,320,160,https://i.scdn.co/image/b30a6d6ccb35bd5bfac770bb97ed1a47e0c21c5a,160,,,,6ix9ine,83,artist,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,1,https://api.spotify.com/v1/search?query=6i&type=artist&offset=1&limit=1,0,,1335
5fbc5c2c1790a7e7ff55c9c3,https://api.spotify.com/v1/search?query=6lack&type=artist&offset=0&limit=1,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83,,2596387,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap,,,,https://api.spotify.com/v1/artists/4IVAbR2w4JJNJDDRFP3E83,4IVAbR2w4JJNJDDRFP3E83,640,https://i.scdn.co/image/0d3d384ce199ff59e07407265f39d3bd18b5e746,640,320,https://i.scdn.co/image/9eb0bd9137898a64268ea57f2f8f8cbfd04ebfa8,320,160,https://i.scdn.co/image/17f0f93e30dd883222af7892954e15d881a2e9cb,160,,,,6LACK,83,artist,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,1,https://api.spotify.com/v1/search?query=6lack&type=artist&offset=1&limit=1,0,,34
5fbc5c2d1790a7e7ff55c9c4,https://api.spotify.com/v1/search?query=9ine&type=artist&offset=0&limit=1,https://open.spotify.com/artist/7DU4M7XohfAfT7sD0FPKI2,,3,,,,,,,,,,,https://api.spotify.com/v1/artists/7DU4M7XohfAfT7sD0FPKI2,7DU4M7XohfAfT7sD0FPKI2,,,,,,,,,,,,,9inehunnid,5,artist,spotify:artist:7DU4M7XohfAfT7sD0FPKI2,1,https://api.spotify.com/v1/search?query=9ine&type=artist&offset=1&limit=1,0,,314
5fbc5c2d1790a7e7ff55c9c5,https://api.spotify.com/v1/search?query=9lokknine&type=artist&offset=0&limit=1,https://open.spotify.com/artist/0ceH34CATvfgphxnLRWFkm,,230939,florida rap,vapor trap,,,,,,,,,https://api.spotify.com/v1/artists/0ceH34CATvfgphxnLRWFkm,0ceH34CATvfgphxnLRWFkm,640,https://i.scdn.co/image/14a9c80d3b4a9d7717e45ca1294ea61033bb73a2,640,320,https://i.scdn.co/image/9393bf2405c5d6b32a335fc52f4e1fddd7db1dca,320,160,https://i.scdn.co/image/5af4938f6f87c13254e04bca5ae75c3fb0303d09,160,,,,9lokknine,67,artist,spotify:artist:0ceH34CATvfgphxnLRWFkm,1,https://api.spotify.com/v1/search?query=9lokknine&type=artist&offset=1&limit=1,0,,2
5fbc5c2d1790a7e7ff55c9c6,https://api.spotify.com/v1/search?query=a+boogie+wit+da+hoodie&type=artist&offset=0&limit=1,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I,,5218966,melodic rap,pop rap,rap,trap,,,,,,,https://api.spotify.com/v1/artists/31W5EY0aAly4Qieq6OFu6I,31W5EY0aAly4Qieq6OFu6I,640,https://i.scdn.co/image/c5624d93f38067845f2454189b0248cc0b4e69cf,640,320,https://i.scdn.co/image/d06c91b5e1902e194ac762093cff733e96796218,320,160,https://i.scdn.co/image/002257b59db764d6cbcffd534920b3dd6ffdc9a3,160,,,,A Boogie Wit da Hoodie,88,artist,spotify:artist:31W5EY0aAly4Qieq6OFu6I,1,,0,,1
