artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
5884856,atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,17lzZA2AlOHwCwFALHttmp,2 Chainz,85
8714721,atl hip hop,rap,trap,,,,,,,,1URnnhqYAYcrqrcwql10ft,21 Savage,91
512014,cali rap,,,,,,,,,,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,91
160672,detroit trap,rap,southern hip hop,trap,,,,,,,45gHcnDnMC15sgx3VL7ROG,42 Dugg,76
6480492,east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,,,,,3q7HBObVc0L8jNeTe5Gofh,50 Cent,86
6002183,emo rap,,,,,,,,,,7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,83
2596387,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap,,,,4IVAbR2w4JJNJDDRFP3E83,6LACK,83
3,,,,,,,,,,,7DU4M7XohfAfT7sD0FPKI2,9inehunnid,5
230939,florida rap,vapor trap,,,,,,,,,0ceH34CATvfgphxnLRWFkm,9lokknine,67
5218966,melodic rap,pop rap,rap,trap,,,,,,,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,88
2716088,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,,,5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,80
8176244,east coast hip hop,hip hop,pop rap,rap,trap,,,,,,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,86
1432928,canadian hip hop,pop,,,,,,,,,4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,80
8082964,hip pop,neo soul,pop,r&b,urban contemporary,,,,,,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,84
39524,cali rap,,,,,,,,,,3BbPRvYQ0M9SFmhkHXozLm,Ambjaay,55
1443159,hip hop,pop rap,portland hip hop,rap,underground hip hop,,,,,,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,79
1624462,escape room,,,,,,,,,,3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,80
15138,alternative r&b,indie r&b,,,,,,,,,028lPW2NdWHdSPCkRkcyhd,Ant Clemons,61
15033941,latin,reggaeton,reggaeton flow,trap latino,,,,,,,2R21vXR83lH98kGeO99Y66,Anuel AA,94
2397082,classic soul,jazz blues,memphis soul,soul,southern soul,,,,,,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,76
53062576,pop,post-teen pop,,,,,,,,,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,100
528331,pop rap,rhode island rap,,,,,,,,,0vRvGUQVUjytro0xpb26bs,Arizona Zervas,79
1940667,dance pop,hip hop,hip pop,pop,r&b,urban contemporary,,,,,5rkVyNGXEgeUqKkB5ccK83,Ashanti,75
462,,,,,,,,,,,1nGRqM8VNcQOcFsOnhpInD,ATR Son Son,67
165507,hip hop,rap,trap,underground hip hop,vapor trap,,,,,,5SXuuuRpukkTvsLuUknva1,Baby Keem,73
26638905,latin,reggaeton,trap latino,,,,,,,,4q3ewBCX7sLwd24euuV69X,Bad Bunny,99
62074,miami hip hop,,,,,,,,,,2CxtLXJMW2AbYPyQShuDT1,Ball Greezy,49
4538783,metropopolis,modern rock,pop,pop rock,,,,,,,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,81
692016,canadian hip hop,dark trap,meme rap,pop rap,vapor trap,,,,,,41X1TR6hrK8Q2ZCpp2EqCz,bbno$,80
24984,houston rap,,,,,,,,,,5L8p9kDnX2cgoI8VLUL2p4,Beatking,69
5798909,dance pop,pop,pop dance,post-teen pop,,,,,,,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,85
186828,canadian hip hop,pop rap,rap,southern hip hop,trap,trap soul,underground hip hop,,,,0FOWNUFHPnMy0vOw1siGqi,Belly,65
25080367,dance pop,pop,post-teen pop,r&b,,,,,,,6vWDO969PvNqNYHIOW5v0m,Beyoncé,89
2295524,pop,pop rap,social media pop,trap queen,viral rap,,,,,,7DuTB6wdzqFJGFLSH17k8e,Bhad Bhabie,70
7869283,detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,0c173mlxpT3dSFRgMO8XPh,Big Sean,87
997901,funk,motown,quiet storm,soul,,,,,,,1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,76
175308,country,,,,,,,,,,60rpJ9SgigSd16DOAG7GSa,Billy Ray Cyrus,73
1176817,hip hop,memphis hip hop,rap,southern hip hop,trap,,,,,,41klVmDluQZmGGqoidNfbe,Blac Youngsta,70
3688548,pop,pop rap,,,,,,,,,2cFrymmkijnjDg9SS92EPM,blackbear,89
1191375,pop rap,rap,southern hip hop,tennessee hip hop,trap,vapor trap,,,,,4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,70
,,,,,,,,,,,,,
3155527,cali rap,trap,,,,,,,,,3Fl1V19tmjt57oBdxXKAjJ,Blueface,79
987686,nyc rap,trap,,,,,,,,,34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,65
23535,,,,,,,,,,,0C86lmpnwiyLDUiyo4d0P1,BRELAND,58
1054826,dmv rap,rap,,,,,,,,,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,81
1623179,boy band,hip hop,rap,,,,,,,,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,79
4728,,,,,,,,,,,5jJjvmEwRr8epuGZq4eUUa,BRS Kash,63
27499670,dance pop,pop,,,,,,,,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,90
4464656,kentucky hip hop,pop,pop rap,r&b,rap,trap,,,,,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,84
153016,alternative r&b,cali rap,rap,trap soul,underground hip hop,,,,,,6PDLwWvgYNMfBRLqC1h5cJ,Buddy,69
220389,afroswing,uk hip hop,,,,,,,,,6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,74
1634647,east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap,,,,,1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,80
604685,chicago rap,melodic rap,rap,southern hip hop,trap,vapor trap,,,,,0HkcYmcjrBR3SCw9Ld5VZk,Calboy,71
20859979,dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,,,7CajNmpbOovFoOoasH2HaY,Calvin Harris,88
13254911,pop,pop rap,rap,,,,,,,,4kYSro6naA4h99UJvo89HB,Cardi B,92
,,,,,,,,,,,,,
284274,edm,electro house,electronic trap,pop rap,rap,southern hip hop,trap,underground hip hop,,,7CCjtD0hCK005Bvg2WG1a7,Carnage,67
5059549,chicago rap,conscious hip hop,hip hop,pop rap,rap,,,,,,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,88
2392041,chicago drill,chicago rap,drill,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,15iVAtD3s3FsQR4w1v6M0P,Chief Keef,77
7118857,atl hip hop,hip hop,pop rap,rap,,,,,,,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,82
70378,alternative r&b,trap soul,underground hip hop,,,,,,,,4bMNzAopkqYTwkBLwMKsF1,Childish Major,55
729138,alternative r&b,dance pop,pop,pop dance,pop rap,post-teen pop,r&b,,,,0AsThoR4KZSVktALiNcQwW,Chloe x Halle,72
12582697,dance pop,pop,pop rap,r&b,rap,,,,,,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,92
4622304,dance pop,hip pop,pop,pop rap,post-teen pop,r&b,urban contemporary,,,,2NdeV5rLm47xAvogXrYhJX,Ciara,75
1015224,pop,scam rap,trap queen,,,,,,,,37hAfseJWi0G3Scife12Il,City Girls,80
40228,alabama rap,,,,,,,,,,5yy76ufVriyvidNSvXlRU1,Clever,69
240495,alternative hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop,,2J257euzcjnDLipsyJH3F2,Clipse,58
