"_id",chart,date,rank,title,artist,weeks,peak,new
5fbbda647592682417920ffd,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,1,Rockstar,Post Malone Featuring 21 Savage,15,1,false
5fbbda647592682417920ffe,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,2,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,16,2,false
5fbbda647592682417920fff,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,3,Gucci Gang,Lil Pump,17,2,false
5fbbda647592682417921000,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,4,MotorSport,"Migos, Nicki Minaj & Cardi B",9,3,false
5fbbda647592682417921001,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,5,Bodak Yellow (Money Moves),Cardi B,26,1,false
5fbbda647592682417921002,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,6,Love.,Kendrick Lamar Featuring Zacari,27,6,false
5fbbda647592682417921003,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,7,Bartier Cardi,Cardi B Featuring 21 Savage,1,7,true
5fbbda647592682417921004,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,8,Gummo,6ix9ine,7,5,false
5fbbda647592682417921005,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,9,I Fall Apart,Post Malone,14,9,false
5fbbda657592682417921006,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,10,Let You Down,NF,12,8,false
5fbbda657592682417921007,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,11,Young Dumb & Broke,Khalid,24,8,false
5fbbda657592682417921008,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,12,I Get The Bag,Gucci Mane Featuring Migos,19,5,false
5fbbda657592682417921009,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,13,Him & I,G-Eazy & Halsey,4,8,false
5fbbda65759268241792100a,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,14,Bank Account,21 Savage,25,5,false
5fbbda65759268241792100b,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,15,Plain Jane,A$AP Ferg Featuring Nicki Minaj,15,13,false
5fbbda65759268241792100c,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,16,The Weekend,SZA,25,13,false
5fbbda65759268241792100d,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,17,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,18,11,false
5fbbda65759268241792100e,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,18,Sky Walker,Miguel Featuring Travis Scott,17,16,false
5fbbda65759268241792100f,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,19,River,Eminem Featuring Ed Sheeran,2,5,false
5fbbda657592682417921010,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,20,Lemon,N*E*R*D & Rihanna,8,20,false
5fbbda657592682417921011,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,21,Candy Paint,Post Malone,10,21,false
5fbbda657592682417921012,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,22,Roll In Peace,Kodak Black Featuring XXXTENTACION,19,20,false
5fbbda657592682417921013,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,23,Ric Flair Drip,Offset & Metro Boomin,9,18,false
5fbbda657592682417921014,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,24,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",17,16,false
5fbbda667592682417921015,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,25,Rubbin Off The Paint,YBN Nahmir,8,17,false
5fbbda667592682417921016,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,26,The Race,Tay-K,22,17,false
5fbbda667592682417921017,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,27,Eye 2 Eye,Huncho Jack Featuring Takeoff,1,27,true
5fbbda667592682417921018,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,28,Kooda,6ix9ine,4,20,false
5fbbda667592682417921019,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,29,Modern Slavery,Huncho Jack,1,29,true
5fbbda66759268241792101a,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,30,Codeine Dreaming,Kodak Black Featuring Lil Wayne,5,20,false
5fbbda67759268241792101b,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,31,Black & Chinese,Huncho Jack,1,31,true
5fbbda67759268241792101c,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,32,Betrayed,Lil Xan,10,28,false
5fbbda67759268241792101d,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,33,No Smoke,YoungBoy Never Broke Again,11,32,false
5fbbda67759268241792101e,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,34,Ice Tray,Quavo & Lil Yachty,2,33,false
5fbbda67759268241792101f,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,35,Dubai Shit,Huncho Jack Featuring Offset,1,35,true
5fbbda677592682417921020,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,36,My Dawg,Lil Baby,5,29,false
5fbbda677592682417921021,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,37,Pick It Up,Famous Dex Featuring A$AP Rocky,8,30,false
5fbbda677592682417921022,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,38,Huncho Jack,Huncho Jack,1,38,true
5fbbda677592682417921023,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,39,Motorcycle Patches,Huncho Jack,1,39,true
5fbbda677592682417921024,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,40,Saint,Huncho Jack,1,40,true
5fbbda677592682417921025,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,41,Walk On Water,Eminem Featuring Beyonce,7,6,false
5fbbda677592682417921026,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,42,Stir Fry,Migos,1,42,true
5fbbda677592682417921027,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,43,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",4,36,false
5fbbda677592682417921028,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,44,F**k Love,XXXTENTACION Featuring Trippie Redd,18,18,false
5fbbda677592682417921029,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,45,Juice,Yo Gotti,6,38,false
5fbbda67759268241792102a,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,46,Wanted You,NAV Featuring Lil Uzi Vert,7,27,false
5fbbda68759268241792102b,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,47,When We,Tank,12,35,false
5fbbda68759268241792102c,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,48,Nowadays,Lil Skies Featuring Landon Cube,1,48,true
5fbbda68759268241792102d,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,49,Jocelyn Flores,XXXTENTACION,18,13,false
5fbbda68759268241792102e,r-b-hip-hop-songs,2018-01-06T00:00:00.000Z,50,Transportin',Kodak Black,19,18,false
5fbbda69759268241792102f,r-b-hip-hop-songs,2018-01-13T00:00:00.000Z,1,Rockstar,Post Malone Featuring 21 Savage,16,1,false
5fbbda697592682417921030,r-b-hip-hop-songs,2018-01-13T00:00:00.000Z,2,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,17,2,false
5fbbda697592682417921031,r-b-hip-hop-songs,2018-01-13T00:00:00.000Z,3,MotorSport,"Migos, Nicki Minaj & Cardi B",10,3,false
