community,genre,count
0,alternative r&b,1
0,arkansas hip hop,1
0,battle rap,1
0,birmingham grime,1
0,boston hip hop,1
0,boy band,1
0,bronx hip hop,1
0,brooklyn drill,1
0,canadian pop,1
0,comedy rap,1
0,crunk,1
0,deep underground hip hop,1
0,edm,1
0,electro house,1
0,electronic trap,1
0,escape room,1
0,g funk,1
0,grime,1
0,hawaiian hip hop,1
0,houston rap,1
0,indie hip hop,1
0,indie pop rap,1
0,instrumental grime,1
0,kentucky hip hop,1
0,lgbtq+ hip hop,1
0,mississippi hip hop,1
0,new jersey rap,1
0,new orleans rap,1
0,new york drill,1
0,oc rap,1
0,portland hip hop,1
0,psychedelic hip hop,1
0,rap conscient,1
0,west coast trap,1
0,alternative hip hop,2
0,baton rouge rap,2
0,dance pop,2
0,meme rap,2
0,nyc rap,2
0,oakland hip hop,2
0,ohio hip hop,2
0,philly rap,2
0,pittsburgh rap,2
0,queens hip hop,2
0,sad rap,2
0,scam rap,2
0,west coast rap,2
0,alabama rap,3
0,chicago drill,3
0,detroit trap,3
0,dfw rap,3
0,dmv rap,3
0,florida rap,3
0,pop r&b,3
0,toronto rap,3
0,trap soul,3
0,virginia hip hop,3
0,canadian hip hop,4
0,detroit hip hop,4
0,emo rap,4
0,hip pop,4
0,memphis hip hop,4
0,north carolina hip hop,4
0,viral rap,4
0,drill,5
0,hardcore hip hop,5
0,miami hip hop,5
0,tennessee hip hop,5
0,east coast hip hop,6
0,atl trap,7
0,dirty south rap,7
0,conscious hip hop,9
0,cali rap,10
0,chicago rap,10
0,gangster rap,22
0,atl hip hop,23
0,vapor trap,27
0,melodic rap,33
0,underground hip hop,41
0,southern hip hop,59
0,pop rap,71
0,hip hop,77
0,trap,103
0,rap,132
1,adult standards,1
1,art pop,1
1,barbadian pop,1
1,bmore,1
1,brostep,1
1,cali rap,1
1,chicago rap,1
1,chillwave,1
1,classic soul,1
1,colombian pop,1
1,country rap,1
1,dark trap,1
1,electro house,1
1,indie pop,1
1,indie poptimism,1
1,indie r&b,1
1,indie rock,1
1,indietronica,1
1,jazz blues,1
1,jump blues,1
1,kentucky hip hop,1
1,la indie,1
1,lounge,1
1,meme rap,1
1,memphis soul,1
1,metropopolis,1
1,miami hip hop,1
1,minnesota hip hop,1
1,modern alternative rock,1
1,moombahton,1
1,new rave,1
1,ninja,1
1,ohio hip hop,1
1,piano rock,1
1,progressive electro house,1
1,progressive house,1
1,queens hip hop,1
1,queer country,1
1,rap latina,1
1,rhode island rap,1
1,rock,1
1,scam rap,1
1,shimmer pop,1
1,shiver pop,1
1,social media pop,1
1,south carolina hip hop,1
1,southern soul,1
1,stomp pop,1
1,swing,1
1,toronto rap,1
1,tropical house,1
1,uk alternative pop,1
1,uk contemporary r&b,1
1,uk pop,1
1,underground hip hop,1
1,vapor trap,1
1,viral rap,1
1,virginia hip hop,1
1,vocal jazz,1
1,washington indie,1
1,australian hip hop,2
1,etherpop,2
1,funk,2
1,gangster rap,2
1,house,2
1,indie soul,2
1,motown,2
1,new jack swing,2
1,pop soul,2
1,uk dance,2
1,viral pop,2
1,canadian contemporary r&b,3
1,canadian pop,3
1,edm,3
1,electropop,3
1,houston rap,3
1,lgbtq+ hip hop,3
1,melodic rap,3
1,modern rock,3
1,pop rock,3
1,quiet storm,3
1,trap soul,3
1,canadian hip hop,4
1,southern hip hop,4
1,atl hip hop,5
1,escape room,5
1,soul,5
1,neo soul,6
1,pop r&b,6
1,trap queen,6
1,trap,9
1,hip pop,10
1,hip hop,11
1,pop dance,12
1,post-teen pop,13
1,rap,13
1,alternative r&b,15
1,urban contemporary,23
1,dance pop,31
1,r&b,34
1,pop rap,37
1,pop,65
2,baltimore hip hop,1
2,dirty south rap,1
2,gangster rap,1
2,hip hop,1
2,melodic rap,1
2,rap,1
2,social media pop,1
2,southern hip hop,1
2,st louis rap,1
2,trap queen,1
2,urban contemporary,1
2,emo rap,2
2,pop rap,2
2,trap,2
2,miami hip hop,3
2,viral rap,3
2,cali rap,4
2,pop r&b,7
3,dark clubbing,1
3,destroy techno,1
4,gospel,1
5,melodic rap,1
5,brooklyn drill,4
5,nyc rap,6
6,latin pop,1
6,latin hip hop,2
6,tropical,2
6,reggaeton colombiano,3
6,reggaeton flow,3
6,latin,6
6,trap latino,6
6,reggaeton,8
7,downtempo,1
7,electronica,1
8,afro dancehall,1
8,afrobeat,1
8,azonto,1
8,malian blues,1
8,mande pop,1
8,nigerian hip hop,1
8,nigerian pop,1
8,wassoulou,1
8,world,1
8,afropop,2
9,smooth jazz,1
9,smooth saxophone,1
10,afroswing,1
10,uk hip hop,2
11,country,1
12,contemporary country,1
12,country road,1
13,spiritual hip hop,1
13,south african hip hop,2
14,chill r&b,1
15,gqom,1
16,chinese hip hop,1
16,chinese idol pop,1
