,artist,community,num_neighbors,num_similar_neighbor,num_nonsimilar_neighbor,prob_similar,centrality
0,Nas,0,38.0,19.0,19.0,0.5,0.1292517006802721
1,YBN Nahmir,1,11.0,7.0,4.0,0.6363636363636364,0.03741496598639456
2,6ix9ine,2,13.0,3.0,10.0,0.23076923076923078,0.04421768707482993
3,Tyga,0,50.0,24.0,26.0,0.48,0.17006802721088435
4,Blueface,1,19.0,13.0,6.0,0.6842105263157895,0.06462585034013606
5,Clipse,0,8.0,6.0,2.0,0.75,0.027210884353741496
6,Alicia Keys,3,13.0,10.0,3.0,0.7692307692307693,0.04421768707482993
7,42 Dugg,1,8.0,6.0,2.0,0.75,0.027210884353741496
8,Rick Ross,0,72.0,38.0,34.0,0.5277777777777778,0.24489795918367346
9,Stevie Wonder,0,4.0,3.0,1.0,0.75,0.013605442176870748
10,Vince Staples,3,10.0,6.0,4.0,0.6,0.03401360544217687
11,EARTHGANG,2,13.0,10.0,3.0,0.7692307692307693,0.04421768707482993
12,Usher,3,22.0,11.0,11.0,0.5,0.07482993197278912
13,Kevin Gates,1,21.0,13.0,8.0,0.6190476190476191,0.07142857142857142
14,Lil Dicky,2,4.0,1.0,3.0,0.25,0.013605442176870748
15,Doe Boy,1,16.0,13.0,3.0,0.8125,0.05442176870748299
16,Mac Miller,3,24.0,11.0,13.0,0.4583333333333333,0.08163265306122448
17,MadeinTYO,2,14.0,2.0,12.0,0.14285714285714285,0.047619047619047616
18,Ella Mai,2,12.0,5.0,7.0,0.4166666666666667,0.04081632653061224
19,Metro Boomin,1,22.0,14.0,8.0,0.6363636363636364,0.07482993197278912
20,Landon Cube,1,1.0,1.0,0.0,1.0,0.003401360544217687
21,Yugen Blakrok,3,1.0,1.0,0.0,1.0,0.003401360544217687
22,Juicy J,0,52.0,23.0,29.0,0.4423076923076923,0.17687074829931973
23,Rae Sremmurd,1,18.0,8.0,10.0,0.4444444444444444,0.061224489795918366
24,JID,2,18.0,14.0,4.0,0.7777777777777778,0.061224489795918366
25,Sosamann,1,8.0,6.0,2.0,0.75,0.027210884353741496
26,Bryson Tiller,3,14.0,5.0,9.0,0.35714285714285715,0.047619047619047616
27,French Montana,0,75.0,29.0,46.0,0.38666666666666666,0.25510204081632654
28,Bruno Mars,0,6.0,3.0,3.0,0.5,0.02040816326530612
29,The Weeknd,3,30.0,15.0,15.0,0.5,0.10204081632653061
30,Mike WiLL Made-It,3,46.0,14.0,32.0,0.30434782608695654,0.1564625850340136
31,Bobby Shmurda,2,4.0,3.0,1.0,0.75,0.013605442176870748
32,YG,0,61.0,26.0,35.0,0.4262295081967213,0.2074829931972789
33,Young Thug,1,78.0,41.0,37.0,0.5256410256410257,0.2653061224489796
34,WizKid,2,14.0,4.0,10.0,0.2857142857142857,0.047619047619047616
35,Ne-Yo,0,21.0,14.0,7.0,0.6666666666666666,0.07142857142857142
36,Dreamville,2,14.0,11.0,3.0,0.7857142857142857,0.047619047619047616
37,Rihanna,3,19.0,12.0,7.0,0.631578947368421,0.06462585034013606
38,Plies,0,23.0,12.0,11.0,0.5217391304347826,0.0782312925170068
39,Kenny G,3,3.0,2.0,1.0,0.6666666666666666,0.01020408163265306
40,Rowdy Rebel,2,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808
41,Jessie Reyez,2,7.0,3.0,4.0,0.42857142857142855,0.023809523809523808
42,Aminé,2,9.0,3.0,6.0,0.3333333333333333,0.030612244897959183
43,Gunplay,0,13.0,9.0,4.0,0.6923076923076923,0.04421768707482993
44,Skylar Grey,3,4.0,2.0,2.0,0.5,0.013605442176870748
45,Kendrick Lamar,3,49.0,20.0,29.0,0.40816326530612246,0.16666666666666666
46,Nicki Minaj,3,58.0,18.0,40.0,0.3103448275862069,0.19727891156462585
47,Missy Elliott,3,19.0,11.0,8.0,0.5789473684210527,0.06462585034013606
48,DJ Khaled,0,59.0,27.0,32.0,0.4576271186440678,0.20068027210884354
49,Tank,0,7.0,6.0,1.0,0.8571428571428571,0.023809523809523808
50,Michael Jackson,3,6.0,5.0,1.0,0.8333333333333334,0.02040816326530612
51,Zacari,1,2.0,1.0,1.0,0.5,0.006802721088435374
52,Janet Jackson,3,5.0,3.0,2.0,0.6,0.017006802721088433
53,Labrinth,3,5.0,3.0,2.0,0.6,0.017006802721088433
54,SOB X RBE,1,3.0,2.0,1.0,0.6666666666666666,0.01020408163265306
55,Money Man,1,8.0,8.0,0.0,1.0,0.027210884353741496
56,Bad Bunny,7,9.0,6.0,3.0,0.6666666666666666,0.030612244897959183
57,Mary J. Blige,3,24.0,12.0,12.0,0.5,0.08163265306122448
