artist,community,num_neighbors,num_similar_neighbor,num_nonsimilar_neighbor,prob_similar,centrality,num,weeks_mean,peak_mean
Nas,0,38.0,28.0,10.0,0.7368421052631579,0.1292517006802721,5,16.0,20.0
Young Dolph,1,28.0,15.0,13.0,0.5357142857142857,0.09523809523809523,2,3.5,42.5
Ciara,0,12.0,9.0,3.0,0.75,0.040816326530612235,0,,
Skylar Grey,0,4.0,4.0,0.0,1.0,0.013605442176870748,1,1.0,29.0
Playboi Carti,1,22.0,12.0,10.0,0.5454545454545454,0.07482993197278913,5,4.0,31.6
Fat Joe,0,22.0,15.0,7.0,0.6818181818181818,0.07482993197278913,1,1.0,44.0
Chance the Rapper,2,39.0,6.0,33.0,0.15384615384615385,0.1326530612244898,0,,
J Balvin,3,18.0,6.0,12.0,0.3333333333333333,0.061224489795918366,3,13.666666666666666,20.666666666666668
Fetty Wap,4,12.0,6.0,6.0,0.5,0.040816326530612235,1,8.0,22.0
Polo G,4,18.0,14.0,4.0,0.7777777777777778,0.061224489795918366,8,10.25,18.75
Sheck Wes,1,2.0,2.0,0.0,1.0,0.006802721088435374,1,2.0,22.0
Beatking,4,2.0,2.0,0.0,1.0,0.006802721088435374,0,,
Kris Wu,4,3.0,1.0,2.0,0.3333333333333333,0.010204081632653059,0,,
PnB Rock,4,37.0,23.0,14.0,0.6216216216216216,0.12585034013605442,5,8.4,33.0
Ambjaay,4,2.0,2.0,0.0,1.0,0.006802721088435374,0,,
Miley Cyrus,3,6.0,2.0,4.0,0.3333333333333333,0.020408163265306117,0,,
Young Thug,1,78.0,25.0,53.0,0.3205128205128205,0.2653061224489796,32,6.3125,27.15625
YoungBoy Never Broke Again,4,32.0,19.0,13.0,0.59375,0.10884353741496597,14,4.714285714285714,29.5
Mez,2,2.0,2.0,0.0,1.0,0.006802721088435374,1,2.0,30.0
Smokepurpp,1,21.0,11.0,10.0,0.5238095238095238,0.07142857142857142,1,2.0,30.0
Mike WiLL Made-It,1,46.0,16.0,30.0,0.3478260869565217,0.1564625850340136,1,1.0,11.0
Slim Jxmmi,1,11.0,9.0,2.0,0.8181818181818182,0.037414965986394565,1,1.0,39.0
Eminem,0,30.0,22.0,8.0,0.7333333333333333,0.1020408163265306,19,4.526315789473684,22.94736842105263
Lil Nas X,3,2.0,2.0,0.0,1.0,0.006802721088435374,3,26.0,5.0
SOB X RBE,4,3.0,2.0,1.0,0.6666666666666666,0.010204081632653059,1,4.0,29.0
Kenny G,0,3.0,3.0,0.0,1.0,0.010204081632653059,1,1.0,20.0
Tyla Yaweh,4,2.0,1.0,1.0,0.5,0.006802721088435374,1,3.0,30.0
Summer Walker,3,12.0,2.0,10.0,0.16666666666666666,0.040816326530612235,6,7.666666666666667,32.166666666666664
Post Malone,3,28.0,5.0,23.0,0.17857142857142858,0.09523809523809523,17,11.823529411764707,14.058823529411764
Ugly God,1,6.0,3.0,3.0,0.5,0.020408163265306117,1,1.0,43.0
A$AP Rocky,0,43.0,26.0,17.0,0.6046511627906976,0.14625850340136054,7,8.571428571428571,29.285714285714285
Chief Keef,1,30.0,14.0,16.0,0.4666666666666667,0.1020408163265306,1,2.0,10.0
Yung Bleu,4,6.0,4.0,2.0,0.6666666666666666,0.020408163265306117,1,3.0,20.0
Frank Ocean,0,7.0,6.0,1.0,0.8571428571428571,0.023809523809523808,0,,
Oumou Sangaré,0,3.0,3.0,0.0,1.0,0.010204081632653059,0,,
James Blake,1,8.0,3.0,5.0,0.375,0.027210884353741496,1,20.0,13.0
Nicki Minaj,0,58.0,25.0,33.0,0.4310344827586207,0.19727891156462585,24,8.5,20.5
Janet Jackson,0,5.0,5.0,0.0,1.0,0.01700680272108843,0,,
Brent Faiyaz,5,4.0,1.0,3.0,0.25,0.013605442176870748,0,,
Marshmello,3,5.0,2.0,3.0,0.4,0.01700680272108843,5,5.8,27.8
